pm10,so2,co,o3,no2,kategori
63,34,25,21,2,SEDANG
16,32,16,19,1,BAIK
18,32,17,20,2,BAIK
24,32,22,20,2,BAIK
29,32,25,14,2,BAIK
21,31,24,18,2,BAIK
30,32,22,17,3,BAIK
29,33,17,19,2,BAIK
29,32,23,13,2,BAIK
38,32,34,21,4,BAIK
25,32,25,20,2,BAIK
29,32,23,17,2,BAIK
29,32,19,12,1,BAIK
22,31,17,13,1,BAIK
27,32,16,17,1,BAIK
24,28,19,14,1,BAIK
24,0,16,14,1,BAIK
18,0,15,10,1,BAIK
35,0,18,15,1,BAIK
54,0,20,16,2,SEDANG
37,0,18,13,2,BAIK
32,0,30,14,2,BAIK
29,0,18,9,2,BAIK
33,0,22,12,2,BAIK
47,14,24,22,2,BAIK
32,13,23,18,3,BAIK
35,12,25,19,2,BAIK
33,12,21,19,2,BAIK
31,12,23,20,2,BAIK
41,16,22,27,3,BAIK
49,0,23,41,3,BAIK
53,0,28,34,3,SEDANG
30,0,17,35,2,BAIK
22,0,15,37,2,BAIK
25,0,16,26,1,BAIK
39,6,20,22,2,BAIK
28,6,19,23,3,BAIK
41,6,20,22,2,BAIK
30,4,23,32,3,BAIK
32,6,23,42,4,BAIK
35,3,18,40,3,BAIK
43,4,21,42,3,BAIK
34,5,32,41,4,BAIK
27,6,22,40,4,BAIK
36,7,19,38,3,BAIK
52,4,30,33,4,SEDANG
68,7,25,30,4,SEDANG
57,4,34,25,2,SEDANG
40,3,31,24,3,BAIK
51,3,34,46,4,SEDANG
58,15,25,78,5,SEDANG
52,7,27,71,7,SEDANG
62,7,30,67,5,SEDANG
50,6,24,68,3,SEDANG
44,8,25,60,4,SEDANG
30,6,23,44,4,BAIK
58,6,26,54,4,SEDANG
51,8,26,46,5,SEDANG
56,8,28,56,4,SEDANG
49,5,33,53,4,SEDANG
37,9,25,75,5,SEDANG
51,7,24,53,4,SEDANG
42,8,19,44,3,BAIK
41,10,22,42,4,BAIK
25,7,22,84,4,SEDANG
53,12,22,101,6,TIDAK SEHAT
62,8,28,43,5,SEDANG
56,9,27,63,4,SEDANG
57,6,29,53,4,SEDANG
53,9,24,60,5,SEDANG
62,14,24,48,4,SEDANG
36,8,20,31,3,BAIK
35,9,20,125,5,TIDAK SEHAT
63,10,25,80,5,SEDANG
55,7,33,52,6,SEDANG
51,13,27,50,2,SEDANG
35,7,17,26,2,BAIK
51,13,23,32,3,SEDANG
34,8,24,47,6,BAIK
46,6,33,34,7,BAIK
77,11,50,97,7,SEDANG
52,10,20,41,4,SEDANG
57,9,30,54,3,SEDANG
42,8,23,80,5,SEDANG
64,12,35,71,3,SEDANG
51,8,27,62,4,SEDANG
32,9,20,26,3,BAIK
41,6,19,,3,BAIK
47,,23,,4,BAIK
30,13,24,,3,BAIK
37,12,24,8,3,BAIK
31,12,24,6,4,BAIK
33,10,16,6,2,BAIK
40,12,17,57,3,SEDANG
17,8,16,38,1,BAIK
23,7,14,31,1,BAIK
46,8,20,55,6,SEDANG
43,7,23,73,4,SEDANG
39,9,26,47,5,BAIK
56,8,26,34,5,SEDANG
55,8,24,45,5,SEDANG
61,9,20,45,3,SEDANG
73,9,26,69,5,SEDANG
65,10,24,76,6,SEDANG
79,7,26,86,7,SEDANG
57,10,24,65,7,SEDANG
71,8,31,56,6,SEDANG
53,11,22,67,5,SEDANG
50,12,17,43,5,BAIK
68,10,30,35,4,SEDANG
47,10,18,44,6,BAIK
61,11,33,82,6,SEDANG
53,10,28,51,5,SEDANG
39,10,17,32,2,BAIK
43,11,18,89,3,SEDANG
57,12,20,88,4,SEDANG
50,8,27,67,4,SEDANG
62,10,34,86,4,SEDANG
49,9,22,68,4,SEDANG
51,11,23,53,4,SEDANG
49,10,22,31,5,BAIK
53,8,26,48,6,SEDANG
55,10,27,52,3,SEDANG
54,11,30,42,5,SEDANG
64,11,28,35,4,SEDANG
76,14,28,87,5,SEDANG
71,15,25,78,5,SEDANG
59,12,20,80,5,SEDANG
50,12,20,76,3,SEDANG
20,15,19,91,5,SEDANG
53,11,21,78,6,SEDANG
60,11,24,56,7,SEDANG
56,11,20,81,9,SEDANG
46,11,23,85,7,SEDANG
59,15,18,64,6,SEDANG
51,14,19,53,3,SEDANG
35,14,19,53,5,SEDANG
44,13,21,85,11,SEDANG
61,17,20,82,8,SEDANG
69,14,19,87,4,SEDANG
54,13,20,134,9,TIDAK SEHAT
69,14,24,79,8,SEDANG
58,15,16,65,4,SEDANG
36,12,20,31,3,BAIK
61,18,23,29,3,SEDANG
56,15,17,26,3,SEDANG
41,11,20,23,3,BAIK
53,14,25,75,4,SEDANG
71,15,21,75,4,SEDANG
42,13,23,72,5,SEDANG
36,12,28,55,5,SEDANG
31,12,19,63,6,SEDANG
41,16,18,32,4,BAIK
38,21,18,31,3,BAIK
51,20,17,47,3,SEDANG
50,13,20,77,4,SEDANG
57,13,19,56,5,SEDANG
52,13,17,48,4,SEDANG
54,14,23,70,6,SEDANG
54,12,20,49,7,SEDANG
51,13,20,44,5,SEDANG
50,16,18,32,2,BAIK
42,15,18,55,3,SEDANG
51,12,24,67,3,SEDANG
34,14,21,84,4,SEDANG
52,17,18,63,7,SEDANG
63,19,21,65,4,SEDANG
58,17,29,36,4,SEDANG
60,18,27,40,4,SEDANG
40,14,19,30,2,BAIK
55,15,27,31,2,SEDANG
12,12,14,29,1,BAIK
20,11,15,33,2,BAIK
28,13,25,33,3,BAIK
33,12,19,46,3,BAIK
29,11,16,57,3,SEDANG
27,13,22,42,3,BAIK
49,14,18,39,3,BAIK
45,13,14,48,2,BAIK
35,14,16,53,2,SEDANG
60,13,18,80,6,SEDANG
49,14,19,90,7,SEDANG
66,16,21,141,7,TIDAK SEHAT
79,17,28,94,6,SEDANG
38,15,16,58,3,SEDANG
24,13,19,54,5,SEDANG
30,15,19,73,5,SEDANG
27,14,19,74,5,SEDANG
37,16,23,103,5,TIDAK SEHAT
45,18,22,71,5,SEDANG
40,17,22,45,5,BAIK
51,16,21,69,4,SEDANG
38,16,19,96,6,SEDANG
59,18,26,97,7,SEDANG
86,20,22,122,9,TIDAK SEHAT
53,15,24,50,7,SEDANG
43,13,23,95,5,SEDANG
49,17,23,77,9,SEDANG
45,14,20,64,4,SEDANG
46,13,25,82,5,SEDANG
48,16,20,56,6,SEDANG
50,19,19,76,5,SEDANG
50,17,20,85,10,SEDANG
57,16,20,70,9,SEDANG
38,16,18,55,5,SEDANG
55,15,24,87,5,SEDANG
48,14,19,74,4,SEDANG
53,17,18,74,6,SEDANG
46,18,19,60,5,SEDANG
42,17,18,80,7,SEDANG
52,18,18,97,7,SEDANG
62,18,19,90,7,SEDANG
61,18,19,90,5,SEDANG
68,19,18,59,6,SEDANG
60,21,19,85,6,SEDANG
56,16,23,141,6,TIDAK SEHAT
34,15,21,72,6,SEDANG
44,15,21,92,5,SEDANG
56,19,18,65,8,SEDANG
56,16,18,56,3,SEDANG
58,15,25,118,5,TIDAK SEHAT
70,16,23,102,6,TIDAK SEHAT
55,18,19,92,5,SEDANG
39,18,18,105,5,TIDAK SEHAT
5,21,17,63,4,SEDANG
18,17,16,49,3,BAIK
51,16,15,83,4,SEDANG
52,19,18,77,5,SEDANG
57,19,19,112,6,TIDAK SEHAT
71,19,21,59,5,SEDANG
52,19,18,63,4,SEDANG
53,19,16,66,4,SEDANG
53,25,19,58,4,SEDANG
62,20,18,51,6,SEDANG
56,18,16,49,5,SEDANG
61,24,21,138,6,TIDAK SEHAT
56,18,20,48,5,SEDANG
51,18,16,64,5,SEDANG
54,17,16,75,6,SEDANG
56,18,15,77,3,SEDANG
64,18,19,70,5,SEDANG
63,19,20,110,9,TIDAK SEHAT
52,17,19,79,6,SEDANG
57,17,19,57,4,SEDANG
59,20,16,50,3,SEDANG
54,20,16,72,3,SEDANG
55,21,16,64,4,SEDANG
52,18,17,86,4,SEDANG
56,17,20,95,4,SEDANG
59,16,20,61,5,SEDANG
59,19,21,113,6,TIDAK SEHAT
68,23,21,86,6,SEDANG
65,20,21,88,6,SEDANG
59,18,18,66,5,SEDANG
53,19,15,78,3,SEDANG
57,20,16,77,6,SEDANG
57,18,17,63,5,SEDANG
55,16,18,58,6,SEDANG
68,19,18,127,9,TIDAK SEHAT
63,20,21,137,7,TIDAK SEHAT
62,19,20,88,5,SEDANG
60,19,21,63,8,SEDANG
62,19,24,53,5,SEDANG
44,17,20,22,3,BAIK
60,16,31,81,7,SEDANG
59,17,22,55,9,SEDANG
42,17,20,56,4,SEDANG
52,17,20,53,4,SEDANG
48,17,26,47,4,BAIK
50,17,22,65,7,SEDANG
53,17,20,62,6,SEDANG
60,18,21,49,5,SEDANG
48,20,16,36,4,BAIK
52,17,20,82,4,SEDANG
39,18,19,41,4,BAIK
53,17,19,68,5,SEDANG
71,17,30,55,6,SEDANG
54,19,20,77,5,SEDANG
46,17,23,89,6,SEDANG
58,18,29,125,7,TIDAK SEHAT
36,18,19,107,5,TIDAK SEHAT
29,19,15,95,4,SEDANG
36,20,18,55,4,SEDANG
50,18,22,120,6,TIDAK SEHAT
36,20,21,115,6,TIDAK SEHAT
51,17,23,44,5,SEDANG
